UAL;Age;Injection;Hydrolysis;Station;specimen_no;depth (cm);max. depth (cm);5 cm group (cm);taxon;Outlier;Contamination;Replicate;ageMedian;ageYng;ageOld;Asp_DL;Glu_DL;DL_Ser;DL_Ala;DL_Val;DL_Phe;DL_Ile;DL_Leu;L-Ser/     L-Asp;[Asp];[Glu];[Ser];[Ala];[Val];[Phe];[Ile];[Leu];[total];L Asp;D Asp;L Glu;D Glu;L Ser;D Ser;Gly;L Ala;L hArg;D Ala;L Val;D Val;L Phe;L Ile;D Phe;L Leu;D aIle;D Leu;Valve
11845;1;2ul10;6;Pan M28;Pan M28-0-2-011;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.040;0.020;0.025;0.026;0.009;0.011;0.008;0.008;0.4;2306;1117;947;852;1078;212;469;480;7461;4117;163;2033;40;1715;42;4484;1541;371;41;1983;17;389;864;4;883;7;7;right
11846;NA;2ul10;6;Pan M28;Pan M28-0-2-012;0-2;2;4;Corbula gibba;outlier;High L-Ser/L-Asp, High DL Leu;;NA;NA;NA;0.077;0.026;0.048;0.035;0.014;0.038;0.086;0.031;0.7;1379;986;885;636;680;295;396;454;5711;10476;805;7860;204;6910;331;10642;5029;1636;175;5487;77;2327;2980;90;3602;257;113;right
11847;58;2ul10;6;Pan M28;Pan M28-0-2-013;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.085;0.026;0.095;0.041;0.009;0.035;0.004;0.026;0.4;1764;1071;746;704;492;174;225;313;5489;8281;707;5316;140;3472;328;4794;3445;1019;141;2487;21;857;1140;30;1553;5;40;right
11848;33;2ul10;6;Pan M28;Pan M28-0-2-014;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.074;0.026;0.042;0.030;0.009;0.010;0.011;0.011;0.5;6444;3115;3095;3177;4126;1007;2078;1879;24922;7455;552;3770;100;3689;157;15026;3833;249;115;5083;44;1239;2554;12;2311;28;25;left
11849;12;2ul10;6;Pan M28;Pan M28-0-2-015;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.059;0.025;0.034;0.032;0.006;0.015;0.011;0.012;0.5;5839;2926;2797;3459;4219;790;2243;2463;24735;6737;400;3488;89;3306;113;15302;4097;245;131;5126;32;951;2713;14;2976;29;35;left
11850;22;2ul10;6;Pan M28;Pan M28-0-2-016;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.067;0.028;0.048;0.029;0.011;0.026;0.011;0.033;0.6;1205;813;739;756;483;222;255;344;4816;5306;354;3715;103;3309;160;5335;3451;939;99;2244;25;1014;1185;27;1565;14;51;left
11851;8;2ul10;6;Pan M28;Pan M28-0-2-017;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.055;0.024;0.035;0.032;0.008;0.010;0.013;0.013;0.5;9652;4663;4364;4493;6936;1290;3212;3034;37645;11322;618;5635;134;5216;182;23569;5386;247;172;8511;69;1579;3921;17;3704;53;49;left
11852;18;2ul10;6;Pan M28;Pan M28-0-2-018;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.064;0.029;0.049;0.045;0.008;0.014;0.012;0.012;0.4;1829;1071;800;813;572;254;317;388;6043;1988;127;1203;35;882;43;1896;899;231;40;656;5;290;362;4;443;4;5;left
11853;26;2ul10;6;Pan M28;Pan M28-0-2-019;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.070;0.028;0.079;0.042;0.010;0.030;0.013;0.008;0.5;1151;715;539;566;339;161;169;230;3870;1339;94;867;24;623;49;1123;676;249;29;418;4;194;207;6;284;3;2;left
11854;13;2ul10;6;Pan M28;Pan M28-0-2-020;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.060;0.027;0.044;0.030;0.009;0.008;0.014;0.013;0.4;6007;2589;2336;2439;3899;735;1798;1541;21344;7327;440;3260;88;2894;126;12728;3062;259;91;4995;46;943;2293;8;1967;31;26;left
11855;16;2ul10;6;Pan M28;Pan M28-0-2-021;0-2;2;4;Corbula gibba;;;;NA;NA;NA;0.063;0.024;0.045;0.031;0.008;0.044;0.007;0.027;0.5;3134;1671;1554;1506;1839;453;800;827;11784;14644;925;8106;194;7384;334;22958;7259;994;222;9059;77;2154;3945;96;4003;29;107;left
